<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:00:00	2063.13	2066.47	2062.28	2065.80	852	0	10
2024.01.01	23:15:00	2065.80	2066.24	2065.07	2065.08	582	0	6
2024.01.01	23:30:00	2065.08	2065.45	2064.19	2064.51	612	0	5
2024.01.01	23:45:00	2064.49	2064.50	2063.17	2063.63	513	0	5
2024.01.02	00:00:00	2063.61	2064.96	2063.41	2064.08	615	0	0
2024.01.02	00:15:00	2064.08	2064.38	2062.28	2063.38	859	0	4
2024.01.02	00:30:00	2063.38	2064.74	2062.97	2064.69	587	0	0
2024.01.02	00:45:00	2064.65	2065.89	2064.44	2065.50	800	0	1
2024.01.02	01:00:00	2065.48	2069.68	2064.85	2069.26	2114	0	0
2024.01.02	01:15:00	2069.26	2069.89	2067.31	2068.49	1557	0	1
2024.01.02	01:30:00	2068.55	2068.59	2066.94	2068.18	1891	0	7
2024.01.02	01:45:00	2068.25	2069.12	2066.37	2066.54	1199	0	6
2024.01.02	02:00:00	2066.50	2066.78	2063.97	2064.72	1144	0	7
2024.01.02	02:15:00	2064.70	2067.14	2064.67	2066.78	788	0	0
2024.01.02	02:30:00	2066.78	2068.43	2065.85	2067.46	1211	0	1
2024.01.02	02:45:00	2067.44	2068.38	2067.38	2067.89	881	0	0
2024.01.02	03:00:00	2067.89	2069.53	2066.45	2069.13	990	0	1
2024.01.02	03:15:00	2069.13	2070.00	2069.13	2069.71	791	0	2
2024.01.02	03:30:00	2069.71	2070.03	2069.41	2069.82	749	0	6
2024.01.02	03:45:00	2069.82	2070.40	2068.62	2069.62	781	0	5
2024.01.02	04:00:00	2069.62	2070.42	2069.24	2070.34	672	0	12
2024.01.02	04:15:00	2070.34	2070.69	2068.90	2069.44	659	0	11
2024.01.02	04:30:00	2069.43	2070.35	2069.42	2069.92	596	0	11
2024.01.02	04:45:00	2069.92	2070.20	2068.92	2069.61	817	0	6
2024.01.02	05:00:00	2069.61	2071.73	2069.47	2071.64	1385	0	8
2024.01.02	05:15:00	2071.64	2071.91	2070.81	2071.44	864	0	8
2024.01.02	05:30:00	2071.44	2072.26	2070.79	2072.21	953	0	4
2024.01.02	05:45:00	2072.21	2074.95	2072.01	2074.52	1032	0	0
2024.01.02	06:00:00	2074.52	2074.97	2072.91	2074.75	1059	0	2
2024.01.02	06:15:00	2074.75	2076.79	2074.24	2075.86	967	0	0
2024.01.02	06:30:00	2075.86	2076.58	2074.77	2075.12	1178	0	0
2024.01.02	06:45:00	2075.12	2075.22	2073.81	2074.16	886	0	8
2024.01.02	07:00:00	2074.16	2075.78	2073.37	2075.37	1311	0	6
2024.01.02	07:15:00	2075.37	2076.38	2074.46	2075.31	1738	0	0
2024.01.02	07:30:00	2075.31	2075.79	2074.67	2075.22	1295	0	0
2024.01.02	07:45:00	2075.22	2075.50	2073.14	2073.15	2046	0	0
2024.01.02	08:00:00	2073.14	2074.58	2072.28	2074.08	2386	0	0
2024.01.02	08:15:00	2074.08	2074.26	2072.31	2072.69	1463	0	0
2024.01.02	08:30:00	2072.69	2074.42	2071.84	2073.87	1861	0	0
2024.01.02	08:45:00	2073.92	2073.99	2072.44	2073.33	1601	0	0
2024.01.02	09:00:00	2073.33	2075.63	2073.32	2074.60	1385	0	0
2024.01.02	09:15:00	2074.60	2075.66	2074.02	2074.70	1457	0	0
2024.01.02	09:30:00	2074.66	2078.98	2074.61	2078.39	1699	0	0
2024.01.02	09:45:00	2078.39	2078.91	2076.81	2077.06	1430	0	0
2024.01.02	10:00:00	2077.06	2077.77	2074.58	2074.99	1209	0	0
2024.01.02	10:15:00	2074.99	2075.36	2073.52	2074.68	1345	0	0
2024.01.02	10:30:00	2074.68	2076.15	2074.40	2075.67	1342	0	0
2024.01.02	10:45:00	2075.67	2076.58	2075.47	2076.04	1415	0	0
2024.01.02	11:00:00	2076.04	2076.23	2073.92	2074.01	1427	0	0
2024.01.02	11:15:00	2074.01	2075.90	2072.87	2075.04	1899	0	0
2024.01.02	11:30:00	2075.04	2075.05	2068.48	2068.86	2314	0	0
2024.01.02	11:45:00	2068.88	2070.39	2068.35	2069.25	1830	0	0
2024.01.02	12:00:00	2069.26	2069.48	2066.40	2066.81	1933	0	0
2024.01.02	12:15:00	2066.81	2067.11	2065.11	2066.01	2095	0	0
2024.01.02	12:30:00	2066.03	2068.39	2065.61	2067.23	1728	0	0
2024.01.02	12:45:00	2067.23	2068.14	2066.73	2067.95	1486	0	0
2024.01.02	13:00:00	2067.95	2068.79	2064.88	2065.63	2753	0	0
2024.01.02	13:15:00	2065.66	2068.68	2065.44	2067.08	2975	0	0
2024.01.02	13:30:00	2067.12	2071.11	2066.97	2069.79	3407	0	0
2024.01.02	13:45:00	2069.79	2069.84	2064.94	2066.23	3129	0	0
2024.01.02	14:00:00	2066.23	2067.30	2064.88	2065.33	3273	0	0
2024.01.02	14:15:00	2065.33	2067.92	2064.65	2065.96	2718	0	0
2024.01.02	14:30:00	2065.96	2070.08	2062.19	2065.80	5422	0	0
2024.01.02	14:45:00	2065.79	2070.48	2065.79	2070.40	6174	0	0
2024.01.02	15:00:00	2070.40	2070.73	2066.55	2067.29	4246	0	0
2024.01.02	15:15:00	2067.29	2067.84	2064.02	2064.89	3014	0	0
2024.01.02	15:30:00	2064.89	2065.28	2055.97	2058.88	5130	0	0
2024.01.02	15:45:00	2058.87	2059.80	2057.33	2059.37	4100	0	0
2024.01.02	16:00:00	2059.36	2067.63	2059.17	2066.39	4494	0	0
2024.01.02	16:15:00	2066.39	2066.99	2064.72	2065.49	2848	0	0
2024.01.02	16:30:00	2065.46	2065.67	2064.16	2065.04	2250	0	0
2024.01.02	16:45:00	2065.07	2066.95	2065.03	2066.11	1909	0	0
2024.01.02	17:00:00	2066.09	2067.00	2064.70	2064.81	1449	0	0
2024.01.02	17:15:00	2064.81	2065.01	2062.80	2064.06	1729	0	0
2024.01.02	17:30:00	2064.06	2065.21	2063.74	2064.68	1464	0	0
2024.01.02	17:45:00	2064.68	2064.69	2061.84	2062.69	1804	0	0
2024.01.02	18:00:00	2062.69	2063.34	2061.48	2062.71	1230	0	0
2024.01.02	18:15:00	2062.71	2064.97	2062.56	2064.54	1223	0	0
2024.01.02	18:30:00	2064.54	2064.54	2061.49	2061.64	1101	0	0
2024.01.02	18:45:00	2061.64	2062.49	2060.62	2061.19	1163	0	0
2024.01.02	19:00:00	2061.19	2062.24	2060.88	2061.72	949	0	0
2024.01.02	19:15:00	2061.72	2061.95	2060.46	2061.66	999	0	1
2024.01.02	19:30:00	2061.66	2062.12	2061.16	2061.78	872	0	1
2024.01.02	19:45:00	2061.82	2061.88	2060.50	2060.93	1148	0	0
2024.01.02	20:00:00	2060.93	2061.62	2060.53	2060.88	664	0	0
2024.01.02	20:15:00	2060.88	2061.46	2059.50	2059.70	808	0	1
2024.01.02	20:30:00	2059.70	2060.25	2058.96	2059.03	1143	0	0
2024.01.02	20:45:00	2059.03	2059.34	2057.99	2058.19	1059	0	0
2024.01.02	21:00:00	2058.21	2059.01	2058.07	2058.87	541	0	1
2024.01.02	21:15:00	2058.87	2059.09	2058.37	2058.51	356	0	2
2024.01.02	21:30:00	2058.51	2058.96	2058.51	2058.54	330	0	0
2024.01.02	21:45:00	2058.54	2059.26	2058.47	2058.76	331	0	5
2024.01.02	23:00:00	2058.45	2059.34	2058.41	2058.97	327	0	9
2024.01.02	23:15:00	2058.97	2059.47	2058.78	2059.33	207	0	4
2024.01.02	23:30:00	2059.33	2059.60	2058.77	2059.44	364	0	1
2024.01.02	23:45:00	2059.44	2060.14	2059.17	2059.60	652	0	1
2024.01.03	00:00:00	2059.63	2061.01	2059.26	2060.99	548	0	1
2024.01.03	00:15:00	2060.99	2062.12	2060.38	2062.09	659	0	2
2024.01.03	00:30:00	2062.11	2062.11	2060.01	2060.37	1039	0	0
2024.01.03	00:45:00	2060.37	2060.84	2060.07	2060.19	516	0	3
2024.01.03	01:00:00	2060.19	2062.21	2060.10	2062.15	1152	0	3
2024.01.03	01:15:00	2062.15	2062.15	2059.56	2061.22	1377	0	1
2024.01.03	01:30:00	2061.22	2062.09	2061.00	2061.37	1375	0	0
2024.01.03	01:45:00	2061.37	2062.57	2061.18	2062.50	1012	0	0
2024.01.03	02:00:00	2062.49	2064.08	2061.60	2064.08	860	0	3
2024.01.03	02:15:00	2064.09	2064.46	2062.75	2064.10	1082	0	0
2024.01.03	02:30:00	2064.09	2065.17	2063.30	2064.63	921	0	1
2024.01.03	02:45:00	2064.63	2065.17	2064.00	2064.69	863	0	0
2024.01.03	03:00:00	2064.69	2065.62	2063.60	2063.70	1009	0	0
2024.01.03	03:15:00	2063.70	2064.02	2063.34	2063.67	858	0	2
2024.01.03	03:30:00	2063.67	2065.22	2063.45	2065.10	525	0	5
2024.01.03	03:45:00	2065.10	2065.36	2064.53	2065.10	518	0	3
2024.01.03	04:00:00	2065.10	2065.10	2064.45	2064.79	452	0	0
2024.01.03	04:15:00	2064.79	2065.16	2064.67	2065.14	298	0	5
2024.01.03	04:30:00	2065.14	2065.56	2064.86	2065.02	401	0	4
2024.01.03	04:45:00	2065.02	2065.12	2064.52	2064.85	293	0	2
2024.01.03	05:00:00	2064.85	2064.85	2063.66	2063.82	556	0	0
2024.01.03	05:15:00	2063.82	2064.30	2063.48	2063.53	475	0	6
2024.01.03	05:30:00	2063.53	2066.04	2063.53	2065.00	927	0	0
