<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	20:00:00	2063.13	2066.47	2062.28	2063.63	2559	0	5
2024.01.02	00:00:00	2063.61	2070.40	2062.28	2069.62	16957	0	0
2024.01.02	04:00:00	2069.62	2076.79	2068.90	2073.15	17458	0	0
2024.01.02	08:00:00	2073.14	2078.98	2068.35	2069.25	26063	0	0
2024.01.02	12:00:00	2069.26	2071.11	2055.97	2059.37	53583	0	0
2024.01.02	16:00:00	2059.36	2067.63	2059.17	2060.93	26632	0	0
2024.01.02	20:00:00	2060.93	2061.62	2057.99	2059.60	6782	0	0
2024.01.03	00:00:00	2059.63	2065.62	2059.26	2065.10	14314	0	0
2024.01.03	04:00:00	2065.10	2066.04	2060.85	2062.98	13117	0	0
2024.01.03	08:00:00	2062.98	2064.39	2046.71	2047.59	28948	0	0
2024.01.03	12:00:00	2047.59	2048.77	2031.78	2032.59	62057	0	0
2024.01.03	16:00:00	2032.59	2042.35	2030.63	2036.69	44736	0	0
2024.01.03	20:00:00	2036.69	2043.91	2036.52	2042.98	11508	0	0
2024.01.04	00:00:00	2042.98	2046.91	2040.13	2044.61	15138	0	0
2024.01.04	04:00:00	2044.61	2049.55	2042.42	2047.69	16189	0	0
2024.01.04	08:00:00	2047.69	2050.98	2044.93	2045.16	25670	0	0
2024.01.04	12:00:00	2045.16	2047.75	2036.26	2045.15	43531	0	0
2024.01.04	16:00:00	2045.15	2046.79	2040.88	2044.42	24494	0	0
2024.01.04	20:00:00	2044.42	2044.87	2042.79	2044.22	6394	0	0
2024.01.05	00:00:00	2044.22	2048.28	2043.28	2045.39	14191	0	0
2024.01.05	04:00:00	2045.39	2047.02	2040.87	2043.16	15218	0	0
2024.01.05	08:00:00	2043.16	2044.46	2037.14	2039.23	20896	0	0
2024.01.05	12:00:00	2039.23	2063.99	2024.45	2054.84	74623	0	0
2024.01.05	16:00:00	2054.84	2056.29	2040.47	2045.73	44202	0	0
2024.01.05	20:00:00	2045.73	2045.79	2042.89	2044.97	6508	0	0
2024.01.07	20:00:00	2044.57	2045.73	2043.03	2044.26	1927	0	0
2024.01.08	00:00:00	2044.29	2046.59	2035.04	2036.08	15145	0	0
2024.01.08	04:00:00	2036.08	2037.62	2027.01	2031.42	19109	0	0
2024.01.08	08:00:00	2031.42	2031.82	2016.80	2020.10	30217	0	0
2024.01.08	12:00:00	2020.07	2034.85	2018.48	2034.24	48569	0	0
2024.01.08	16:00:00	2034.26	2036.88	2026.38	2029.41	26445	0	0
2024.01.08	20:00:00	2029.41	2030.93	2026.14	2030.72	8071	0	0
2024.01.09	00:00:00	2030.72	2035.90	2030.68	2033.62	17070	0	0
2024.01.09	04:00:00	2033.62	2037.21	2030.33	2036.02	16552	0	0
2024.01.09	08:00:00	2036.02	2038.54	2031.34	2035.04	26275	0	0
2024.01.09	12:00:00	2035.04	2041.99	2028.75	2028.80	46530	0	0
