<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	00:00:00	6029.1170	6041.9040	6029.1170	6041.4610	3414	0	600
2024.01.01	01:00:00	6041.4640	6053.6730	6041.4640	6046.4590	3451	0	600
2024.01.01	02:00:00	6046.4690	6049.1550	6028.3640	6035.5450	3427	0	600
2024.01.01	03:00:00	6035.5500	6040.0560	6018.7380	6018.9630	3413	0	600
2024.01.01	04:00:00	6018.9650	6034.8510	6014.5650	6034.8510	3433	0	600
2024.01.01	05:00:00	6034.8630	6048.3330	6034.8630	6048.3330	3434	0	600
2024.01.01	06:00:00	6048.3430	6056.3250	6038.4750	6046.9580	3444	0	600
2024.01.01	07:00:00	6046.9650	6052.3160	6034.0510	6052.3160	3411	0	600
2024.01.01	08:00:00	6052.3280	6074.0100	6052.3280	6074.0100	3426	0	600
2024.01.01	09:00:00	6074.0150	6091.1000	6074.0150	6091.1000	3443	0	600
2024.01.01	10:00:00	6091.1140	6093.1650	6064.3760	6069.5970	3450	0	600
2024.01.01	11:00:00	6069.6030	6091.3640	6069.6030	6091.3640	3420	0	600
2024.01.01	12:00:00	6091.3700	6108.2260	6088.0690	6088.2930	3425	0	600
2024.01.01	13:00:00	6088.2950	6092.0570	6070.5300	6075.1230	3439	0	600
2024.01.01	14:00:00	6075.1330	6079.5530	6057.0900	6067.9370	3420	0	600
2024.01.01	15:00:00	6067.9410	6072.2440	6059.0790	6066.2350	3428	0	600
2024.01.01	16:00:00	6066.2420	6088.4780	6066.2420	6088.4780	3449	0	600
2024.01.01	17:00:00	6088.4790	6090.6290	6074.6270	6087.6670	3438	0	600
2024.01.01	18:00:00	6087.6680	6099.7960	6087.6680	6099.7960	3434	0	600
2024.01.01	19:00:00	6099.8070	6108.7550	6084.1760	6092.8170	3416	0	600
2024.01.01	20:00:00	6092.8280	6103.8870	6085.7470	6086.9360	3448	0	600
2024.01.01	21:00:00	6086.9370	6101.9210	6086.9370	6093.3150	3420	0	600
2024.01.01	22:00:00	6093.3260	6099.6250	6073.5940	6079.8240	3446	0	600
2024.01.01	23:00:00	6079.8370	6097.2900	6079.8370	6091.4720	3438	0	600
2024.01.02	00:00:00	6091.4730	6100.3890	6088.4800	6096.2770	3445	0	600
2024.01.02	01:00:00	6096.2810	6111.1210	6096.2810	6111.1210	3460	0	600
2024.01.02	02:00:00	6111.1270	6116.2440	6089.9670	6101.7360	3426	0	600
2024.01.02	03:00:00	6101.7400	6102.0000	6085.9340	6099.7200	3429	0	600
2024.01.02	04:00:00	6099.7250	6102.1830	6093.3350	6096.3690	3419	0	600
2024.01.02	05:00:00	6096.3700	6105.4730	6092.5420	6093.0940	3428	0	600
2024.01.02	06:00:00	6093.0960	6107.9580	6093.0960	6103.5410	3430	0	600
2024.01.02	07:00:00	6103.5430	6118.9920	6087.7330	6089.1640	3453	0	600
2024.01.02	08:00:00	6089.1770	6090.7160	6074.9760	6076.8170	3434	0	600
2024.01.02	09:00:00	6076.8240	6086.4730	6072.8010	6077.5770	3429	0	600
2024.01.02	10:00:00	6077.5810	6078.5700	6062.6130	6073.4800	3440	0	600
2024.01.02	11:00:00	6073.4840	6083.8310	6070.1650	6083.8310	3445	0	600
2024.01.02	12:00:00	6083.8320	6085.1900	6056.7470	6060.3530	3439	0	600
2024.01.02	13:00:00	6060.3540	6074.4940	6060.3540	6074.4940	3436	0	600
2024.01.02	14:00:00	6074.4980	6083.7640	6070.7080	6078.2680	3457	0	600
2024.01.02	15:00:00	6078.2780	6085.7950	6071.4650	6085.7950	3427	0	600
2024.01.02	16:00:00	6085.7970	6104.6830	6085.7970	6104.6830	3444	0	600
2024.01.02	17:00:00	6104.6970	6107.4910	6095.8330	6100.8270	3428	0	600
2024.01.02	18:00:00	6100.8310	6111.0160	6095.8000	6098.8610	3443	0	600
2024.01.02	19:00:00	6098.8620	6117.2500	6095.8840	6097.1900	3433	0	600
2024.01.02	20:00:00	6097.1940	6105.1690	6089.3570	6095.2860	3443	0	600
2024.01.02	21:00:00	6095.2930	6117.3880	6095.2930	6117.3880	3453	0	600
